City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Vytegra,RU,61.0064,36.4481,7.61,94,100,10.11,overcast clouds
121,Bambous Virieux,MU,-20.3428,57.7575,82.65,61,20,5.75,few clouds
122,Qaanaaq,GL,77.484,-69.3632,-23.62,70,18,6.8,few clouds
123,Ossora,RU,59.2353,163.0719,-2.52,86,100,7.36,overcast clouds
124,Wanning,CN,18.8003,110.3967,69.21,64,71,15.86,broken clouds
125,Manicore,BR,-5.8092,-61.3003,72.32,99,100,3.27,light rain
126,Kasongo-Lunda,CD,-6.4667,16.8167,74.34,91,81,1.14,broken clouds
127,Kvarkeno,RU,52.0833,59.725,16.65,95,94,4.07,overcast clouds
128,Vostok,RU,46.4856,135.8833,-1.71,97,70,2.62,broken clouds
129,Atmakur,IN,15.8833,78.5833,87.62,39,3,2.44,clear sky
130,Bungu,TZ,-7.6337,39.0582,83.57,63,94,5.12,light rain
131,Lichtenburg,ZA,-26.152,26.1597,74.39,46,100,14.0,overcast clouds
132,Bengkulu,ID,-3.8004,102.2655,81.34,77,37,15.17,scattered clouds
133,Lebu,CL,-37.6167,-73.65,56.46,92,22,20.29,few clouds
134,Arraial Do Cabo,BR,-22.9661,-42.0278,72.3,93,100,2.28,overcast clouds
135,Port Lincoln,AU,-34.7333,135.8667,66.25,61,0,17.54,clear sky
136,Berezovyy,RU,51.6667,135.7,-4.13,99,58,1.7,broken clouds
137,Puerto Ayora,EC,-0.7393,-90.3518,71.55,96,46,4.88,scattered clouds
138,Ulaangom,MN,49.9811,92.0667,-10.14,90,100,1.5,overcast clouds
139,El Doncello,CO,1.6782,-75.2847,73.13,70,95,3.74,overcast clouds
140,Aguilas,ES,37.4063,-1.5829,56.88,55,56,6.62,broken clouds
141,Hermanus,ZA,-34.4187,19.2345,66.79,50,70,18.61,broken clouds
142,Molokovo,RU,58.1661,36.7628,23.09,95,100,11.32,snow
143,Kuala Terengganu,MY,5.3302,103.1408,84.97,70,20,9.22,few clouds
144,Tiarei,PF,-17.5333,-149.3333,78.82,78,20,15.17,light rain
145,Muisne,EC,0.6,-80.0333,74.52,88,92,3.31,overcast clouds
146,Piacabucu,BR,-10.4056,-36.4344,75.83,85,36,5.73,scattered clouds
147,Bluff,NZ,-46.6,168.3333,55.53,60,22,11.5,few clouds
148,Dangara,IN,29.6799,75.8931,67.89,31,49,5.99,scattered clouds
149,Antofagasta,CL,-23.65,-70.4,65.48,86,26,0.34,scattered clouds
150,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,10.36,light snow
151,Muros,ES,42.7762,-9.0603,61.09,89,100,24.61,overcast clouds
152,Garden City,US,42.3256,-83.331,55.31,86,100,17.27,overcast clouds
153,Cherskiy,RU,68.75,161.3,-45.24,100,64,3.8,broken clouds
154,Saldanha,ZA,-33.0117,17.9442,66.25,52,6,9.73,clear sky
155,Tiksi,RU,71.6872,128.8694,-10.21,96,100,9.93,overcast clouds
156,Tansen,NP,27.8673,83.5467,59.76,38,1,5.08,clear sky
157,Verkhoyansk,RU,67.5447,133.385,-23.31,100,100,0.83,overcast clouds
158,Saint-Philippe,RE,-21.3585,55.7679,82.11,76,46,4.81,light rain
159,Jhang,PK,33.6748,72.6963,57.61,61,30,8.39,scattered clouds
160,Thunder Bay,CA,48.4001,-89.3168,33.78,100,100,0.0,mist
161,Sakakah,SA,29.9697,40.2064,49.57,63,0,9.75,clear sky
162,Ponta Do Sol,PT,32.6667,-17.1,67.12,26,32,7.02,scattered clouds
163,Pudozh,RU,61.8099,36.5345,3.76,97,84,5.26,broken clouds
164,Simao,CN,22.7886,100.9748,53.83,94,100,2.66,overcast clouds
165,Biak,ID,-0.9131,122.8766,82.15,71,100,2.59,overcast clouds
166,Reggio Di Calabria,IT,38.1105,15.6613,55.56,82,20,6.91,few clouds
167,Roald,NO,62.5833,6.1333,45.75,75,7,23.02,light rain
168,Malaya Serdoba,RU,52.4661,44.9512,25.86,97,100,7.96,overcast clouds
169,Coquimbo,CL,-29.9533,-71.3436,60.53,88,100,5.75,overcast clouds
170,Turukhansk,RU,65.8167,87.9833,-15.86,84,18,8.52,few clouds
171,Diamantino,BR,-14.4086,-56.4461,72.01,99,100,3.78,overcast clouds
172,Goderich,CA,43.7501,-81.7165,52.12,82,100,16.11,overcast clouds
173,Lata,PT,40.1629,-8.3327,61.07,93,100,8.32,overcast clouds
174,Pipri,IN,19.8,75.5333,84.78,45,0,3.44,haze
175,Mayo,US,38.8876,-76.5119,42.26,92,0,0.0,clear sky
176,Qaqortoq,GL,60.7167,-46.0333,1.42,69,0,5.75,clear sky
177,Khani,GE,41.9563,42.9566,31.57,41,100,3.47,overcast clouds
