City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Los Llanos De Aridane,ES,66.13,broken clouds,28.6585,-17.9182,Valle Aridane
405,Lorengau,PG,77.56,light rain,-2.0226,147.2712,Seeadler Bay Hotel
408,Loandjili,CG,79.77,scattered clouds,-4.7561,11.8578,Le Raphia Guest House
415,Canto Do Buriti,BR,70.88,clear sky,-8.11,-42.9444,Novo Hotel
418,Cayenne,GF,73.44,few clouds,4.9333,-52.3333,Central Hôtel
419,Soyo,AO,79.65,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
421,Pagudpud,PH,75.92,overcast clouds,18.5616,120.7868,J-em’s Transient House
422,Brownsville,US,69.98,mist,25.9018,-97.4975,Cameron Hotel
429,Batemans Bay,AU,67.1,light rain,-35.7167,150.1833,Esplanade Hotel
433,Kisangani,CD,77.72,overcast clouds,0.5167,25.2,Le Chalet
437,Guanhaes,BR,63.75,overcast clouds,-18.775,-42.9325,Hotel Caravelle
439,Rawson,AR,63.05,overcast clouds,-43.3002,-65.1023,Hotel Deportivo
442,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel Argentina 307
449,Haikou,CN,64.53,broken clouds,20.0458,110.3417,海口行青年旅
450,Gijon,ES,67.46,overcast clouds,43.5357,-5.6615,Hotel Begoña Centro
454,Katesh,TZ,67.37,overcast clouds,-4.5167,35.3833,Guesthouse
472,Mar Del Plata,AR,67.08,overcast clouds,-38.0023,-57.5575,Nuevo Ostende
477,Marsh Harbour,BS,74.37,overcast clouds,26.5412,-77.0636,Lofty Fig Villas
478,Riberalta,BO,72.39,light rain,-10.9833,-66.1,Hotel Jomali
480,Montepuez,MZ,79.43,scattered clouds,-13.1256,38.9997,Complexo Messalo
492,Bonoua,CI,74.82,overcast clouds,5.2741,-3.595,Aliekro Hôtel
495,Namanga,KE,71.87,overcast clouds,-2.5433,36.7905,Namange Masaai Hotel
500,Caravelas,BR,72.03,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
501,Pokhara,NP,64.71,clear sky,28.2333,83.9833,Hotel Annapurna View Sarangkot
502,Dwarka,IN,76.78,clear sky,22.2394,68.9678,The Dwarika Hotel
508,Pochutla,MX,67.82,few clouds,15.7432,-96.4661,Posada San Jose
511,Atambua,ID,77.09,overcast clouds,-9.1061,124.8925,Hotel Matahari
517,Borda Da Mata,BR,64.62,overcast clouds,-22.2742,-46.1653,Pousada NS da LUZ
520,Pombas,CV,65.98,clear sky,17.1503,-25.0201,Aldeia Jerome
525,Ciudad Guayana,VE,74.52,scattered clouds,8.3533,-62.6528,Hotel
534,Bukama,CD,68.88,moderate rain,-9.2,25.85,Mission catholique
536,Tocopilla,CL,66.25,broken clouds,-22.092,-70.1979,hotel Isidora
540,Sassandra,CI,74.71,overcast clouds,4.95,-6.0833,Hotel Le Pollet
541,Rio De Oro,CO,63.07,scattered clouds,8.2919,-73.3849,Hotel santa clara
545,Lithgow,AU,68.58,scattered clouds,-33.4833,150.15,Grand Central Hotel
546,Sao Felix Do Xingu,BR,70.63,overcast clouds,-6.6447,-51.995,Hotel Terraço
551,Cascais,PT,62.17,overcast clouds,38.6979,-9.4215,Cascais Hotel
554,Pangai,TO,78.91,light rain,-19.8,-174.35,Billy's Place
555,Namibe,AO,73.78,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
559,Marsaxlokk,MT,61.09,fog,35.8419,14.5431,Harbour Lodge
560,Foumban,CM,67.73,broken clouds,5.7291,10.9001,Hotel Pekassa de Karché
569,Karpathos,GR,60.76,few clouds,35.507,27.2132,Ξενοδοχείο Τιτάνια
576,Valera,VE,68.23,few clouds,9.3178,-70.6036,Valera
591,Salalah,OM,78.89,clear sky,17.0151,54.0924,Muscat International Hotel
593,Mecca,SA,68.45,overcast clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
596,Santiago Del Estero,AR,72.48,clear sky,-27.7951,-64.2615,Nuevo Hotel Brístol
598,Marawi,PH,75.78,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
604,San Juan,AR,78.04,clear sky,-31.5375,-68.5364,Hotel San Francisco
605,Mumbwa,ZM,69.15,overcast clouds,-14.9783,27.0619,La Hacienda
613,Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,Hotel del Valle
624,San Luis,AR,70.97,clear sky,-33.295,-66.3356,Hotel Dos Venados
625,Cervo,ES,61.83,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
630,Obidos,BR,72.36,overcast clouds,-1.9175,-55.5181,Hotel Brás Belo
643,Celestun,MX,73.42,clear sky,20.8667,-90.4,Hotel Flamingo Playa
648,Atar,MR,69.24,broken clouds,20.5169,-13.0499,فندق سكليل
653,Barranca,PE,68.77,overcast clouds,-10.75,-77.7667,Emperador
656,Valparaiso,CL,60.44,broken clouds,-33.0393,-71.6273,Ibis Hotel
657,Hualmay,PE,68.94,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
658,Huarmey,PE,69.51,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
662,Nishihara,JP,60.46,light intensity shower rain,26.1842,127.7558,ユインチホテル南城
679,Taltal,CL,62.91,broken clouds,-25.4,-70.4833,Hostería Taltal
681,Sao Luiz Gonzaga,BR,62.98,clear sky,-28.4083,-54.9608,Cometa Plaza Hotel
687,San Cristobal,VE,63.03,few clouds,7.7669,-72.225,Terra Sur
695,Burnie,AU,64.94,overcast clouds,-41.0667,145.9167,Burnie Central TownHouse Hotel
696,Puerto Del Rosario,ES,62.35,clear sky,28.5004,-13.8627,Hotel Tamasite
697,Natitingou,BJ,66.33,few clouds,10.3042,1.3796,CPNO
708,Lai,TD,68.86,broken clouds,9.3952,16.2989,Auberge Shalom de Laï
710,Kimbe,PG,78.82,light rain,-5.5502,150.1429,Kimbe Bay Hotel
711,Escarcega,MX,70.09,broken clouds,18.6089,-90.7454,Ah Kim Pech
714,Pereira Barreto,BR,72.63,overcast clouds,-20.6383,-51.1092,Rota Hotel
715,Maragogi,BR,76.12,clear sky,-9.0122,-35.2225,Pousada Mariluz
718,Mulege,MX,60.73,overcast clouds,26.8833,-111.9833,Hacienda Hotel
722,Devonport,AU,65.01,overcast clouds,-41.1667,146.35,Elimatta Hotel
724,Aden,YE,78.93,clear sky,12.7794,45.0367,فندق قصر الجزيرة
